Genus,Species,AP,N
Amphinemura,Amphinemura appalachia,0.405,1
Amphinemura,Amphinemura banksi,0.124,4
Amphinemura,Amphinemura borealis,0.098,12
Amphinemura,Amphinemura bulla,0.125,7
Amphinemura,Amphinemura claviloba,0.094,2
Amphinemura,Amphinemura decemseta,0.15,35
Amphinemura,Amphinemura delosa,0.204,27
Amphinemura,Amphinemura dentifera,0.07,2
Amphinemura,Amphinemura flavostigma,0.077,3
Amphinemura,Amphinemura guadarramensis,0.056,1
Amphinemura,Amphinemura hamiornata,0.071,2
Amphinemura,Amphinemura longispina,0.111,7
Amphinemura,Amphinemura mamillata,0.116,1
Amphinemura,Amphinemura megaloba,0.124,9
Amphinemura,Amphinemura nigritta,0.181,8
Amphinemura,Amphinemura palmeni,0.091,13
Amphinemura,Amphinemura standfussi,0.092,56
Amphinemura,Amphinemura sulcicollis,0.08,46
Amphinemura,Amphinemura triangularis,0.094,4
Amphinemura,Amphinemura wui,0.205,27
Amphinemura,Amphinemura yao,0.177,2
Amphinemura,Amphinemura zonata,0.114,7
Indonemoura,Indonemoura auriformis,0.081,1
Indonemoura,Indonemoura jacobsoni,0.225,2
Indonemoura,Indonemoura nohirae,0.136,16
Indonemoura,Indonemoura scalprata,0.112,1
Malenka,Malenka californica,0.074,14
Malenka,Malenka coloradensis,0.057,11
Malenka,Malenka flexura,0.109,22
Mesonemoura,Mesonemoura metafiligera,0.122,2
Mesonemoura,Mesonemoura spiroflagellata,0.081,1
Mesonemoura,Mesonemoura tritaenia,0.12,2
Nemoura,Nemoura akagii,0.144,2
Nemoura,Nemoura arctica,0.201,111
Nemoura,Nemoura avicularis,0.109,20
Nemoura,Nemoura cambrica,0.095,22
Nemoura,Nemoura cercispinosa,0.11,17
Nemoura,Nemoura chinonis,0.104,8
Nemoura,Nemoura cinerea,0.11,36
Nemoura,Nemoura dubitans,0.074,16
Nemoura,Nemoura erratica,0.082,1
Nemoura,Nemoura flexuosa,0.076,13
Nemoura,Nemoura fulva,0.179,8
Nemoura,Nemoura geei,0.117,2
Nemoura,Nemoura hikosan,0.111,2
Nemoura,Nemoura lacustris,0.116,37
Nemoura,Nemoura longicercia,0.114,12
Nemoura,Nemoura marginata,0.131,14
Nemoura,Nemoura meniscata,0.149,2
Nemoura,Nemoura minima,0.114,2
Nemoura,Nemoura mortoni,0.153,15
Nemoura,Nemoura nankinensis,0.13,2
Nemoura,Nemoura obtusa,0.152,4
Nemoura,Nemoura ovocercia,0.255,1
Nemoura,Nemoura palliventris,0.104,3
Nemoura,Nemoura papilla,0.134,3
Nemoura,Nemoura redimiculum,0.163,7
Nemoura,Nemoura sahlbergi,0.133,7
Nemoura,Nemoura sciurus,0.057,4
Nemoura,Nemoura securigera,0.069,1
Nemoura,Nemoura sinuata,0.112,6
Nemoura,Nemoura stratum,0.133,2
Nemoura,Nemoura taihangshana,0.103,1
Nemoura,Nemoura transversospinosa,0.057,7
Nemoura,Nemoura uenoi,0.133,3
Nemoura,Nemoura uncinata,0.082,2
Nemoura,Nemoura viki,0.057,1
Nemurella,Nemurella pictetii,0.116,86
Ostrocerca,Ostrocerca albidipennis,0.135,3
Ostrocerca,Ostrocerca complexa,0.135,3
Ostrocerca,Ostrocerca truncata,0.079,2
Paranemoura,Paranemoura perfecta,0.121,5
Podmosta,Podmosta decepta,0.118,12
Podmosta,Podmosta delicatula,0.131,48
Prostoia,Prostoia besametsa,0.145,10
Prostoia,Prostoia completa,0.172,11
Prostoia,Prostoia similis,0.173,48
Protonemura,Protonemura alcazaba,0.097,1
